[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:42:56,155] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-27 23:59:39,548] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
[2019-04-28 00:01:19,261] app.hive_mysql.AzkabanMonitor [INFO] URL: https://172.23.27.203:8443
